Distrito,Indice
ALTO DE PINHEIROS,17.194174757281555
BUTANTÃ,7.269129287598944
ITAIM BIBI,14.34375
JARDIM PAULISTA,50.34146341463415
MORUMBI,6.53757225433526
PINHEIROS,12.669421487603305
RAPOSO TAVARES,4.745527986151183
RIO PEQUENO,6.716981132075472
VILA SÔNIA,5.7787481804949055
CAMPO LIMPO,2.4921710328214393
CAPÃO REDONDO,2.533749290981282
JARDIM ÂNGELA,2.479063694861513
JARDIM SÃO LUÍS,3.151104565537555
VILA ANDRADE,4.090549624357454
CIDADE DUTRA,3.3181818181818183
GRAJAÚ,3.0712732305258994
MARSILAC,1.5127478753541077
PARELHEIROS,3.6649562330214307
SOCORRO,8.45679012345679
BRASILÂNDIA,5.979938271604938
CACHOEIRINHA,5.584346135148274
CASA VERDE,0.005961783439490446
FREGUESIA DO Ó,7.799304952215465
LIMÃO,8.247467438494935
CIDADE TIRADENTES,9.441020191285865
GUAIANASES,11.959666203059806
LAJEADO,6.329102447869447
BELA VISTA,6.344827586206897
BOM RETIRO,8.485119047619047
CAMBUCI,11.383561643835616
CONSOLAÇÃO,13.360759493670885
CURSINO,8.463786531130877
IPIRANGA,6.2389635316698655
LIBERDADE,11.386363636363637
MOEMA,22.794444444444444
REPÚBLICA,78.0
SACOMÃ,5.534356237491661
SANTA CECÍLIA,9.128155339805826
SÃO LUCAS,20.864795918367346
SAÚDE,9.036986301369863
SÉ,5.615591397849462
VILA MARIANA,17.289398280802292
VILA PRUDENTE,10.051369863013699
ARICANDUVA,9.921641791044776
CARRÃO,10.857493857493857
CIDADE LÍDER,6.107928047968021
ITAQUERA,6.515099957464908
JOSÉ BONIFÁCIO,8.754350051177072
PARQUE DO CARMO,5.905574516496018
VILA FORMOSA,7.355714285714286
JAÇANÃ,3.88125
MANDAQUI,7.191343963553531
SANTANA,9.75523349436393
TREMEMBÉ,3.8870687515512534
TUCURUVI,11.44671201814059
VILA GUILHERME,11.00294117647059
VILA MARIA,5.455426356589148
VILA MEDEIROS,5.712474983322215
ÁGUA RASA,11.696517412935323
ARTUR ALVIM,4.715453194650817
BELÉM,9.290865384615385
BRÁS,3.782978723404255
CANGAÍBA,3.8098062475286674
ERMELINO MATARAZZO,3.7315347191508184
MOOCA,19.97285067873303
PARI,4.127840909090909
PENHA,8.415742793791575
PONTE RASA,4.44556765163297
TATUAPÉ,12.184895833333334
VILA MATILDE,8.313090418353577
ANHANGUERA,3.546854942233633
BARRA FUNDA,9.368932038834952
JAGUARA,2.3403908794788273
JAGUARÉ,4.488139825218477
JARAGUÁ,4.70893906588308
LAPA,11.846689895470384
PERDIZES,27.05181347150259
PERUS,5.86511240632806
PIRITUBA,10.9130859375
SÃO DOMINGOS,10.048148148148147
VILA LEOPOLDINA,10.144628099173554
CAMPO BELO,7.522483940042827
CAMPO GRANDE,6.386002120890774
CIDADE ADEMAR,2.6819841369759536
JABAQUARA,4.918501478803812
PEDREIRA,2.529931972789116
SANTO AMARO,11.599369085173501
IGUATEMI,3.148783185840708
SÃO MATEUS,5.037744429286039
SÃO RAFAEL,3.3050595238095237
SAPOPEMBA,4.348488052442377
ITAIM PAULISTA,3.841290322580645
JARDIM HELENA,4.085663082437276
SÃO MIGUEL,7.763440860215054
VILA CURUÇÁ,5.466033966033966
VILA JACUÍ,5.497136311569301
